Name,Price,SKU,Code,Category,Taxable,Quantity
007 Everything or Nothing (PlayStation 2 - CIB),5.99,RLP-801C335EE4,014633147148,Video Games,TRUE,1
007 Night Fire (Xbox - CIB),8.99,RLP-B86CAB1904,,Video Games,TRUE,1
18 Wheeler American Pro Trucker (PlayStation 2 - CIB),7.99,RLP-34D248C031,021481232698,Video Games,TRUE,1
7 Days to Die (PlayStation 4 - CIB),13.99,RLP-4ED7F57ED3,894515001801,Video Games,TRUE,1
A Blade So Black (Book - Loose),7.99,RLP-45A0D04030,9781250211668,Books & Media,TRUE,1
A Court of Wings and Ruin (Book - Loose),8.99,RLP-EC80BA9E21,9781635575606,Books & Media,TRUE,1
A Dawn of Onyx (Book - Loose),7.99,RLP-F0DE2F175E,A Dawn of Onyx,Books & Media,TRUE,1
A Touch of Darkness (Book - Loose),4.99,RLP-E1C92DA1D6,9781070723310,Books & Media,TRUE,1
Abraham Lincoln (Book - Loose),6.99,RLP-C1C04ADFA4,9781455510177,Books & Media,TRUE,1
Ace Combat 5 Unsung War (PlayStation 2 - CIB),9.99,RLP-432EB054ED,722674100168,Video Games,TRUE,1
"After (After Series, Book 1) (Book - Loose)",5.99,RLP-8793CDB4AC,9781982111007,Books & Media,TRUE,1
All the Right Reasons (Book - Loose),11.99,RLP-07CD79386F,9781534499034,Books & Media,TRUE,1
American Ninja Warrior (PlayStation 4 - CIB),6.99,RLP-9A95F99B5F,856131008046,Video Games,TRUE,1
Animal Crossing: City Folk (Wii - CIB),10.99,RLP-5354CC0850,4902370517248,Video Games,TRUE,1
Arc the Lad: Seirei no Koukon (PlayStation 2 - CIB),9.99,RLP-AAA7DEA68A,4948872150415,Video Games,TRUE,1
Are You Smarter Than A 5th Grader? Make the Grade (PlayStation 2 - CIB),2.99,RLP-2E58D2880D,752919461501,Video Games,TRUE,1
Arena Football Road to Glory (PlayStation 2 - CIB),8.99,RLP-C30E56EC86,014633153200,Video Games,TRUE,1
Assassin's Creed (Xbox 360 - CIB),5.99,RLP-B41C8242FC,008888523390,Video Games,TRUE,1
Assassin's Creed II (PlayStation 3 - CIB),3.99,RLP-1D7933CAC7,008888345343,Video Games,TRUE,1
Assassin's Creed III (PlayStation 3 - CIB),3.99,RLP-DC1D1A46C9,008888347231,Video Games,TRUE,1
Assassin's Creed III [Gamestop Edition] (Xbox 360 - CIB),5.99,RLP-29A5AD6101,008888597230,Video Games,TRUE,1
Atari Anthology (PlayStation 2 - CIB),8.99,RLP-BD6C9638D3,742725260818,Video Games,TRUE,1
Backyard Sports: Rookie Rush (Wii - CIB),4.99,RLP-2E17DA5395,742725281257,Video Games,TRUE,1
Batman: Arkham Asylum [Game of the Year Greatest Hits] (PlayStation 3 - CIB),8.99,RLP-E04CC7D87D,788687501088,Video Games,TRUE,1
Batman: Arkham City (PlayStation 3 - CIB),6.99,RLP-D3AE305AF8,883929172054,Video Games,TRUE,1
Battle Arena Toshinden (PlayStation - CIB),6.99,RLP-7B5E7EA6EA,4904880133093,Video Games,TRUE,1
Battlefield 3 (PlayStation 3 - CIB),6.99,RLP-ED3A98609D,014633197280,Video Games,TRUE,1
Battlefield 3 [Limited Edition] (Xbox 360 - CIB),3.99,RLP-E04F4FCE3D,014633195934,Video Games,TRUE,1
Battlefield 4 (PlayStation 3 - CIB),3.99,RLP-4AC7F8C15A,014633732290,Video Games,TRUE,1
Battlefield: Bad Company 2 (PlayStation 3 - CIB),5.99,RLP-8E54370969,014633156720,Video Games,TRUE,1
Beach Vibes (Book - Loose),7.99,RLP-0AF6956C02,9781335001245,Books & Media,TRUE,1
Beast You Are (Book - Loose),9.99,RLP-621C6C9DA0,9780063069978,Books & Media,TRUE,1
Big Bumpin (Xbox - CIB),3.99,RLP-6B931600DD,,Video Games,TRUE,1
BioShock 2 (Xbox 360 - CIB),5.99,RLP-41B56DC614,710425395536,Video Games,TRUE,1
Black GameCube Controller (GameCube - CIB),52.99,RLP-6998A006D4,,Video Games,TRUE,1
Boku To Sim No Machi (Wii - CIB),12.99,RLP-362D2274DC,4938833007919,Video Games,TRUE,1
Boogie [Bundle] (PlayStation 2 - CIB),2.99,RLP-DD75EB4CDF,014633158960,Video Games,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-307916002C,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-262DB4268A,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-272E0726F7,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-360FF765D5,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-54B0A0C667,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-570BF16AB6,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-2F5BC6DADF,Book Blind Date,Books & Media,TRUE,1
Book Blind Date (Book - Loose),9.99,RLP-E5C326698E,Book Blind Date,Books & Media,TRUE,1
Borderlands 2 [Game of the Year] (PlayStation 3 - CIB),13.99,RLP-DCEBBC3E36,710425473333,Video Games,TRUE,1
Burnout Point of Impact 2 (GameCube - CIB),31.99,RLP-7C599E6547,,Video Games,TRUE,1
Cabelas Alaskan Adventures (PlayStation 2 - CIB),3.99,RLP-13CB5F3AB4,,Video Games,TRUE,1
Cabelas Big Game Hunter (PlayStation 2 - CIB),28.99,RLP-1ED34A327C,,Video Games,TRUE,1
Cabelas Deer Hunt 2004 Season (PlayStation 2 - CIB),2.99,RLP-433702DA32,,Video Games,TRUE,1
Call of Duty 2 Big Red One (PlayStation 2 - CIB),7.99,RLP-7138DE7281,047875810211,Video Games,TRUE,1
Call of Duty 4 Modern Warfare (PlayStation 3 - CIB),5.99,RLP-7085E8BC6D,047875830813,Video Games,TRUE,1
Call of Duty Black Ops II (Xbox 360 - CIB),15.99,RLP-9553F2A464,047875843851,Video Games,TRUE,1
Can't Take My Eyes Off Of You (Book - Loose),9.99,RLP-8002525FC6,9781945253300,Books & Media,TRUE,1
Cars (GameCube - CIB),14.99,RLP-6F0F404FBB,,Video Games,TRUE,1
Cars (Xbox - CIB),8.99,RLP-B965FF0D4A,752919520574,Video Games,TRUE,1
Chicken Shoot (Wii - CIB),7.99,RLP-2A727AA238,802068101350,Video Games,TRUE,1
Cold Stone Creamery: Scoop It Up (Wii - CIB),6.99,RLP-A172D715FE,802068102531,Video Games,TRUE,1
Dai-2-Ji Super Robot Wars Alpha (CIB),9.99,RLP-22F2E9D223,4983164737776,Video Games,TRUE,1
Dai-2-Ji Super Robot Wars Alpha (PlayStation 2 - CIB),9.99,RLP-8E198C7BFA,4983164737776,Video Games,TRUE,1
Dai-2-Ji Super Robot Wars Alpha (PlayStation 2 - CIB),9.99,RLP-4EDC9EB90B,4983164737776,Video Games,TRUE,1
Dai-2-Ji Super Robot Wars Alpha (CIB),9.99,RLP-927B10B292,4983164737776,Video Games,TRUE,1
Dance Central 3 (Xbox 360 - CIB),9.99,RLP-7878ABFD62,885370523522,Video Games,TRUE,1
Dance Dance Revolution Extreme 2 (PlayStation 2 - CIB),9.99,RLP-0D4C0D8A2B,083717201281,Video Games,TRUE,1
Dead Space 3 [Limited Edition] (Xbox 360 - CIB),7.99,RLP-E0FC336F1F,014633197235,Video Games,TRUE,1
Dishonored [Definitive Edition] (Xbox One - CIB),10.99,RLP-50AA371CA1,093155170681,Video Games,TRUE,1
Disney Sing It (Xbox 360 - CIB),2.99,RLP-39752F3D03,712725005696,Video Games,TRUE,1
Disneyland Adventures (Xbox 360 - CIB),5.99,RLP-E372FA257C,,Video Games,TRUE,1
DMC: Devil May Cry (Xbox 360 - CIB),7.99,RLP-962DB77455,013388330287,Video Games,TRUE,1
Does It Hurt? (Book - Loose),15.99,RLP-22CA4513C9,9781638932499,Books & Media,TRUE,1
Dragon Age II (PlayStation 3 - CIB),6.99,RLP-7D09688424,014633195002,Video Games,TRUE,1
Dragon Ball Z (PlayStation 2 - CIB),25.99,RLP-F1C1677471,4543112084514,Video Games,TRUE,1
Dragon Ball Z 3 (PlayStation 2 - CIB),9.99,RLP-EDCBA14EE8,4543112319036,Video Games,TRUE,1
Dragon Ball Z Sparking (PlayStation 2 - CIB),8.99,RLP-47D6029A4C,4543112378835,Video Games,TRUE,1
Dragon Quest 7 (PlayStation - CIB),6.99,RLP-A4AFA4DC29,4988601003292,Video Games,TRUE,1
Dragon Quest VIII (PlayStation 2 - CIB),8.99,RLP-3A49D71F6C,4988601004107,Video Games,TRUE,1
Dragon Warrior (NES - CIB),63.99,RLP-6BB6AB7691,,Video Games,TRUE,1
Dragon's Dogma (PlayStation 3 - CIB),2.99,RLP-D7F8DE5647,4976219042888,Video Games,TRUE,1
Dragonball Z Budokai (GameCube - CIB),18.99,RLP-45528B06F7,,Video Games,TRUE,1
Dragonball Z Budokai (GameCube - CIB),18.99,RLP-FAA66409EE,,Video Games,TRUE,1
ESPN NFL 2K5 (Xbox - CIB),7.99,RLP-5D1F388642,,Video Games,TRUE,1
Evolve (Xbox One - CIB),3.99,RLP-014EE9DAD8,710425493751,Video Games,TRUE,1
EX Jinsei Game (PlayStation 2 - CIB),7.99,RLP-1F0BD90486,4904880138654,Video Games,TRUE,1
Extreme Pinball (PlayStation - CIB),6.99,RLP-179060D26E,,Video Games,TRUE,1
Eyepet & Friends (PlayStation 3 - CIB),4.99,RLP-68D9FDC8E1,711719823520,Video Games,TRUE,1
FIFA 14 (PlayStation 3 - CIB),7.99,RLP-65F91768A5,014633730401,Video Games,TRUE,1
FIFA 16 (Xbox One - CIB),3.99,RLP-53CE0477A8,014633369281,Video Games,TRUE,1
FIFA Soccer 07 (GameCube - CIB),51.99,RLP-63A1179604,,Video Games,TRUE,1
FIFA Soccer 11 (PlayStation 3 - CIB),4.99,RLP-AB21C2C758,014633193213,Video Games,TRUE,1
FIFA Street 3 (Xbox 360 - CIB),12.99,RLP-E279E5B916,014633155617,Video Games,TRUE,1
Fifty Shades Collection (Book - Loose),9.99,RLP-06B1623462,Fifty Shades Collection,Books & Media,TRUE,1
Fifty shades freed (Book - Loose),4.99,RLP-ACEC17D7AD,9780345803504,Books & Media,TRUE,1
Fight Night Champion (Xbox 360 - CIB),13.99,RLP-1B83F202F1,,Video Games,TRUE,1
Final Fantasy X-2 (PlayStation 2 - CIB),12.99,RLP-E59707D285,4961012028207,Video Games,TRUE,1
Final Fantasy X-2 (PlayStation 2 - CIB),8.99,RLP-C0613AA27F,4961012028207,Video Games,TRUE,1
Final Fantasy X-2 (PlayStation 2 - CIB),8.99,RLP-EC1F0EB810,4961012028207,Video Games,TRUE,1
Final Fantasy XII (PlayStation 2 - CIB),9.99,RLP-3EB6BA18BF,4988601004459,Video Games,TRUE,1
Final Fantasy XIII (PlayStation 3 - CIB),11.99,RLP-59F90CFEA5,4988601006187,Video Games,TRUE,1
Fisherman’s Bait 2 Big Ol Bass (PlayStation - CIB),38.99,RLP-A9A6D5CB52,,Video Games,TRUE,1
Five Days in Paris (Book - Loose),9.99,RLP-7B53FB7C13,9780345528193,Books & Media,TRUE,1
Five Feet Apart (Book - Loose),4.99,RLP-E3693D5B6E,Five Feet Apart,Books & Media,TRUE,1
Fort Point (Book - Loose),9.99,RLP-CD75407505,9780997230871,Books & Media,TRUE,1
Fourth Wing (Book - Loose),15.99,RLP-B82AF411AE,9781649374042,Books & Media,TRUE,1
Fourth Wing (Book - Loose),15.99,RLP-40914EB4C5,9781649374042,Books & Media,TRUE,1
Full Metal Alchemist Hagane no Renkinjutsushi (PlayStation 2 - CIB),50.99,RLP-68C3C06E2B,4988601003933,Video Games,TRUE,1
Full Spectrum Warrior (Xbox - CIB),7.99,RLP-55E562301E,752919520239,Video Games,TRUE,1
Gacharoku (PlayStation 2 - CIB),10.99,RLP-BEF3378AA4,4948872110266,Video Games,TRUE,1
Galaga / Galaxian (Game Boy - CIB),31.99,RLP-5782265C59,,Video Games,TRUE,1
Game Party 2 (Wii - CIB),8.99,RLP-50DE65CC15,031719192045,Video Games,TRUE,1
GameCube (GameCube - CIB),108.99,RLP-7031800D91,,Video Games,TRUE,1
Gears 5 (Xbox One - CIB),13.99,RLP-7308AA579F,889842519099,Video Games,TRUE,1
Gears of War 4 (Xbox One - CIB),9.99,RLP-D122845FAC,889842118650,Video Games,TRUE,1
Genso Suikoden (PlayStation - CIB),22.99,RLP-A1B8A87EB9,4988602624304,Video Games,TRUE,1
Genso Suikoden (PlayStation - CIB),22.99,RLP-D9ABD1B742,4988602624304,Video Games,TRUE,1
Genso Suikoden III [First Print Limited Edition] (PlayStation 2 - CIB),3.99,RLP-80CF637D74,4542084000560,Video Games,TRUE,1
Genso Suikoden V (PlayStation 2 - CIB),17.99,RLP-5B65551367,4988602124774,Video Games,TRUE,1
Gensou Suikoden V [PlayStation 2 The Best] (PlayStation 2 - CIB),0.00,RLP-7C092B9CFD,4988602132601,Video Games,TRUE,1
Girls in Pants (Book - Loose),5.99,RLP-DB1E93267C,9780385729352,Books & Media,TRUE,1
God of War Chains of Olympus (PSP - CIB),33.99,RLP-E2A996B749,,Video Games,TRUE,1
Golden Axe Beast Rider (Xbox 360 - CIB),9.99,RLP-696823DAB1,010086680119,Video Games,TRUE,1
Green Light (Book - Loose),39.99,RLP-E0CA7ED23F,Green Light,Books & Media,TRUE,1
Grey GameCube Controller (GameCube - CIB),84.99,RLP-5565D7C35A,,Video Games,TRUE,1
Hanjuku Eiyuu Tai 3D (PlayStation 2 - CIB),8.99,RLP-BA5658322D,4961012038237,Video Games,TRUE,1
Hard Hitter Tennis (PlayStation 2 - CIB),7.99,RLP-28D3898FE5,730865520213,Video Games,TRUE,1
Hardcore 4X4 (PlayStation - CIB),6.99,RLP-855885D832,,Video Games,TRUE,1
Haven Call of the King (PlayStation 2 - CIB),7.99,RLP-70A0C5EBB1,031719268924,Video Games,TRUE,1
Heart Bones (Book - Loose),8.99,RLP-B7C977666F,9781668021910,Books & Media,TRUE,1
Heart Of Texas Vol. 3 (Book - Loose),9.99,RLP-16D4B004AC,9780778325093,Books & Media,TRUE,1
Heartstopper Collection (Book - Loose),29.99,RLP-53843552B3,Heartstopper Collection,Books & Media,TRUE,1
High School Musical 3 Senior Year Dance (Wii - CIB),4.99,RLP-CB5B0EAAD7,712725004736,Video Games,TRUE,1
High School Musical Sing It (PlayStation 3 - CIB),5.99,RLP-4CC3732407,712725003517,Video Games,TRUE,1
Hitman 2 Silent Assassin (Xbox - CIB),2.99,RLP-A8BCD2E602,,Video Games,TRUE,1
Hollywood Squares (Xbox 360 - CIB),6.99,RLP-51E802A751,008888176213,Video Games,TRUE,1
Home Alone (NES - CIB),47.99,RLP-F093BBBCC9,,Video Games,TRUE,1
Home Is Where the Bodies Are (Book - Loose),12.99,RLP-AD1013F8CB,9798212182843,Books & Media,TRUE,1
Honk if you love real men (Book - Loose),9.99,RLP-4AC8375A06,9780312339166,Books & Media,TRUE,1
How to Train Your Dragon (Wii - CIB),12.99,RLP-26408AA37F,047875839038,Video Games,TRUE,1
iCarly (DS - CIB),7.99,RLP-6E54F67931,047875759794,Video Games,TRUE,1
Icebreaker (Book - Loose),8.99,RLP-8A7ECAAC61,9781668026038,Books & Media,TRUE,1
If we ever meet again (Book - Loose),6.99,RLP-4D6E1FC579,If we ever meet again,Books & Media,TRUE,1
IHRA Drag Racing Sportsman Edition (PlayStation 2 - CIB),5.99,RLP-E9002D599F,093155119406,Video Games,TRUE,1
Infinity (Xbox 360 - CIB),21.99,RLP-49B17540B3,,Video Games,TRUE,1
Inuyasha (PlayStation - CIB),16.99,RLP-7AF37BECC2,4543112055453,Video Games,TRUE,1
Iron Flame (Book - Loose),16.99,RLP-A712273175,9781649374172,Books & Media,TRUE,1
It Ends With Us (Book - Loose),5.99,RLP-47C55192A3,9781668055960,Books & Media,TRUE,1
It Ends With Us (Book - Loose),5.99,RLP-E9AC2BB9D0,9781501110368,Books & Media,TRUE,1
It Ends With Us (Book - Loose),5.99,RLP-81681F6E4A,9781501110368,Books & Media,TRUE,1
It Starts with Us (Book - Loose),5.99,RLP-FCA2183945,9781668001226,Books & Media,TRUE,1
It Starts with Us (Book - Loose),5.99,RLP-CB62DEDC2E,9781398518179,Books & Media,TRUE,1
Jeopardy (NES - CIB),17.99,RLP-441CA6B0AE,,Video Games,TRUE,1
Jeremy McGrath Supercross World (PlayStation 2 - CIB),8.99,RLP-9FBA8E1FB7,,Video Games,TRUE,1
Jillian Michaels' Fitness Ultimatum 2009 (Wii - CIB),2.99,RLP-2DCC7F13A4,096427015529,Video Games,TRUE,1
Jimmy Neutron Attack of the Twonkies (PlayStation 2 - CIB),11.99,RLP-CB54AF081E,752919460580,Video Games,TRUE,1
Just Cause 3 (Xbox One - CIB),6.99,RLP-829E4D35E4,662248915814,Video Games,TRUE,1
Just Dance 3 (Xbox 360 - CIB),6.99,RLP-A58842DEE9,008888526773,Video Games,TRUE,1
Just Dance Wii (Wii - CIB),10.99,RLP-BE1550248E,4902370519167,Video Games,TRUE,1
Just Dance Wii (Wii - CIB),9.99,RLP-6ADCFFE098,4902370519167,Video Games,TRUE,1
Karaoke Revolution 3 (PlayStation 2 - CIB),6.99,RLP-5556B870EA,083717200932,Video Games,TRUE,1
Karaoke Revolution Glee Vol 3 (Xbox 360 - CIB),4.99,RLP-A0C0A2DA7C,083717301363,Video Games,TRUE,1
Kelly Slater's Pro Surfer (Xbox - CIB),7.99,RLP-41043504B4,047875801912,Video Games,TRUE,1
Kinect Sports (Xbox 360 - CIB),4.99,RLP-92960A5F76,885370211337,Video Games,TRUE,1
Kinect Star Wars (Xbox 360 - CIB),5.99,RLP-B423E3A65E,023272344788,Video Games,TRUE,1
Kingdom Hearts 2 (PlayStation 2 - CIB),10.99,RLP-4CFABA6B3F,4988601004404,Video Games,TRUE,1
Kingdom Hearts II Final Mix [Limited Edition] (PlayStation 2 - CIB),89.99,RLP-9C8DCF94C7,4988601004947,Video Games,TRUE,1
Kingdom Hearts II Final Mix [Limited Edition] (PlayStation 2 - CIB),89.99,RLP-0D06FB56E3,4988601004947,Video Games,TRUE,1
Kingdom Hearts II Final Mix [Limited Edition] (PlayStation 2 - CIB),89.99,RLP-0652F9399F,4988601004947,Video Games,TRUE,1
Kings of Colorado (Book - Loose),9.99,RLP-EAA56F2101,9781439183830,Books & Media,TRUE,1
Legend (Book - Loose),4.99,RLP-C576F5D1E9,9780399256752,Books & Media,TRUE,1
Legends of Wrestling (PlayStation 2 - CIB),6.99,RLP-260E148266,021481232650,Video Games,TRUE,1
Legends of Wrestling (PlayStation 2 - CIB),6.99,RLP-7D3CA8DE37,021481232650,Video Games,TRUE,1
LEGO Batman 2 (PlayStation 3 - CIB),6.99,RLP-5BF39F6699,883929243440,Video Games,TRUE,1
LEGO Batman 3: Beyond Gotham (PlayStation 3 - CIB),7.99,RLP-7B377DF17C,883929427253,Video Games,TRUE,1
LEGO Marvel Super Heroes (Xbox 360 - CIB),5.99,RLP-85E014599D,883929319701,Video Games,TRUE,1
LEGO Marvel Super Heroes (PlayStation 3 - CIB),6.99,RLP-10B78F626F,883929319558,Video Games,TRUE,1
LEGO Movie Videogame (PlayStation 3 - CIB),7.99,RLP-B3C1646401,883929375325,Video Games,TRUE,1
LEGO Pirates of the Caribbean: The Video Game (Xbox 360 - CIB),10.99,RLP-E54F45CCF6,712725021146,Video Games,TRUE,1
LEGO Rock Band (PlayStation 3 - CIB),9.99,RLP-3767A2DF53,883929077793,Video Games,TRUE,1
LEGO Star Wars II Original Trilogy (GameCube - CIB),12.99,RLP-CE7CF6B760,023272329587,Video Games,TRUE,1
