RetroLootPro ID,Name,Platform,Condition,Barcode,Sell Price,Market Value,Label Price,Cost Basis,Quantity,Status,Category,Item Type,Clover Category,Issues
b86cab19-042e-486c-9a8f-893e93d14a5c,007 Night Fire,Xbox,CIB,,0.00,8.83,8.99,11.54,1,available,Manual Entry,unknown,Video Games,missing barcode
6b931600-dd3d-4b60-a458-82dfa375927a,Big Bumpin,Xbox,CIB,,0.00,3.71,3.99,4.85,1,available,Manual Entry,unknown,Video Games,missing barcode
6998a006-d450-4fb6-9484-295e914fdb7e,Black GameCube Controller,GameCube,CIB,,0.00,52.83,52.99,22.60,1,available,Manual Entry,game,Video Games,missing barcode
7c599e65-47d1-47b8-b25b-cecdf55c9b70,Burnout Point of Impact 2,GameCube,CIB,,0.00,32.43,31.99,13.87,1,available,Manual Entry,unknown,Video Games,missing barcode
13cb5f3a-b424-4d04-a7a9-da79ca368b80,Cabelas Alaskan Adventures,PlayStation 2,CIB,,0.00,3.76,3.99,4.91,1,available,Manual Entry,unknown,Video Games,missing barcode
1ed34a32-7c5e-4dfb-bfd6-53e5262708ce,Cabelas Big Game Hunter,PlayStation 2,CIB,,0.00,28.75,28.99,37.56,1,available,Manual Entry,game,Video Games,missing barcode
433702da-32b8-4e62-8b55-57624faed510,Cabelas Deer Hunt 2004 Season,PlayStation 2,CIB,,0.00,2.91,2.99,3.80,1,available,Manual Entry,unknown,Video Games,missing barcode
6f0f404f-bb7e-48d3-ae79-ad87c889b0dc,Cars,GameCube,CIB,,0.00,15.00,14.99,6.42,1,available,Manual Entry,unknown,Video Games,missing barcode
e372fa25-7ce1-4802-8291-867432ebc76e,Disneyland Adventures,Xbox 360,CIB,,0.00,5.69,5.99,7.43,1,available,Manual Entry,unknown,Video Games,missing barcode
6bb6ab76-91e0-4e75-b043-6e1f7d7c24d3,Dragon Warrior,NES,CIB,,0.00,64.18,63.99,83.86,1,available,Manual Entry,unknown,Video Games,missing barcode
45528b06-f792-4539-a3d9-1f8708854104,Dragonball Z Budokai,GameCube,CIB,,0.00,18.51,18.99,7.92,1,available,Manual Entry,unknown,Video Games,missing barcode
faa66409-ee9f-45bb-a48d-842fb0c9dc0c,Dragonball Z Budokai,GameCube,CIB,,0.00,18.51,18.99,7.92,1,available,Manual Entry,unknown,Video Games,missing barcode
5d1f3886-4241-419d-b290-3a563c81ec77,ESPN NFL 2K5,Xbox,CIB,,0.00,8.17,7.99,10.67,1,available,Manual Entry,unknown,Video Games,missing barcode
179060d2-6ea6-4245-90a2-cbc2a8dc6ab1,Extreme Pinball,PlayStation,CIB,,0.00,7.47,6.99,9.76,1,available,Manual Entry,unknown,Video Games,missing barcode
63a11796-04bd-4c00-a8ca-1690ea92eefb,FIFA Soccer 07,GameCube,CIB,,0.00,51.89,51.99,22.19,1,available,Manual Entry,unknown,Video Games,missing barcode
1b83f202-f1b2-4aa1-b84f-84d9de10c4c2,Fight Night Champion,Xbox 360,CIB,,0.00,13.96,13.99,18.24,1,available,Manual Entry,unknown,Video Games,missing barcode
a9a6d5cb-52b8-44f6-a3f8-0bf39192983f,Fisherman’s Bait 2 Big Ol Bass,PlayStation,CIB,,0.00,39.34,38.99,51.40,1,available,Manual Entry,unknown,Video Games,missing barcode
