RetroLootPro ID,Name,Platform,Condition,Barcode,Sell Price,Market Value,Label Price,Cost Basis,Quantity,Status,Category,Item Type,Clover Category
801c335e-e48e-471a-ae42-5e5f629ca1f3,007 Everything or Nothing,PlayStation 2,CIB,014633147148,0.00,6.24,5.99,12.08,1,available,Video Games,game,Video Games
b86cab19-042e-486c-9a8f-893e93d14a5c,007 Night Fire,Xbox,CIB,,0.00,8.83,8.99,11.54,1,available,Manual Entry,unknown,Video Games
34d248c0-319b-4175-a146-9791d178d692,18 Wheeler American Pro Trucker,PlayStation 2,CIB,021481232698,0.00,8.23,7.99,15.93,1,available,Video Games,game,Video Games
4ed7f57e-d3e6-4ba2-873d-566f11ea3f65,7 Days to Die,PlayStation 4,CIB,894515001801,0.00,13.78,13.99,26.52,1,available,Video Games,game,Video Games
45a0d040-3076-4dcb-80ea-18eec67967f1,A Blade So Black,Book,Loose,9781250211668,7.99,7.99,7.99,0.00,1,available,Books & Media,accessory,Books & Media
ec80ba9e-218e-4e10-a834-94c84e6c9d64,A Court of Wings and Ruin,Book,Loose,9781635575606,8.99,8.99,8.99,5.00,1,available,Books & Media,accessory,Books & Media
f0de2f17-5ea4-4d3f-8855-68f44ae0ffef,A Dawn of Onyx,Book,Loose,A Dawn of Onyx,7.99,7.99,7.99,0.00,1,available,Books,accessory,Books & Media
e1c92da1-d6fc-416d-845f-a13e73cbbf74,A Touch of Darkness,Book,Loose,9781070723310,4.99,4.99,4.99,3.00,1,available,Books,accessory,Books & Media
c1c04adf-a4a0-4a9b-87ce-683548f6fe8f,Abraham Lincoln,Book,Loose,9781455510177,6.99,6.99,6.99,0.00,1,available,Books & Media,accessory,Books & Media
432eb054-edd4-423d-85c3-a49c0887dbb2,Ace Combat 5 Unsung War,PlayStation 2,CIB,722674100168,0.00,9.96,9.99,19.28,1,available,Video Games,game,Video Games
8793cdb4-ac1c-45a1-b2af-2fa3ce2d3a22,"After (After Series, Book 1)",Book,Loose,9781982111007,5.99,5.99,5.99,4.00,1,available,Books & Media,accessory,Books & Media
07cd7938-6fe7-41b7-b575-9f40b1461b57,All the Right Reasons,Book,Loose,9781534499034,11.99,11.99,11.99,0.00,1,available,Books & Media,accessory,Books & Media
9a95f99b-5fb8-4ea1-a2e8-5179b4a9a2db,American Ninja Warrior,PlayStation 4,CIB,856131008046,0.00,7.35,6.99,14.23,1,available,Video Games,game,Video Games
5354cc08-50aa-4be7-b8cf-99634d0fcfd1,Animal Crossing: City Folk,Wii,CIB,4902370517248,0.00,11.00,10.99,21.65,1,available,Video Games,game,Video Games
aaa7dea6-8a63-4dca-98f3-652a31c03a38,Arc the Lad: Seirei no Koukon,PlayStation 2,CIB,4948872150415,0.00,9.99,9.99,19.66,1,available,Video Games,game,Video Games
2e58d288-0d32-46b2-8371-9766cd8cd517,Are You Smarter Than A 5th Grader? Make the Grade,PlayStation 2,CIB,752919461501,0.00,2.97,2.99,5.75,1,available,Video Games,game,Video Games
c30e56ec-863b-4cab-96a1-5c61ced91c92,Arena Football Road to Glory,PlayStation 2,CIB,014633153200,0.00,8.99,8.99,17.40,1,available,Video Games,game,Video Games
b41c8242-fcc2-4128-94d4-68a6b028b94f,Assassin's Creed,Xbox 360,CIB,008888523390,0.00,5.75,5.99,11.13,1,available,Video Games,game,Video Games
1d7933ca-c7f5-4861-bea0-7e0eb9f7f0e1,Assassin's Creed II,PlayStation 3,CIB,008888345343,0.00,3.84,3.99,6.70,1,available,Video Games,game,Video Games
dc1d1a46-c927-4276-b1f6-f5c47c58a29c,Assassin's Creed III,PlayStation 3,CIB,008888347231,0.00,3.74,3.99,7.24,1,available,Video Games,game,Video Games
29a5ad61-010a-4a42-a4b5-450a192b39b6,Assassin's Creed III [Gamestop Edition],Xbox 360,CIB,008888597230,0.00,6.24,5.99,12.08,1,available,Video Games,game,Video Games
bd6c9638-d386-49ba-b6e3-c18fdcb0beb1,Atari Anthology,PlayStation 2,CIB,742725260818,0.00,9.32,8.99,18.04,1,available,Video Games,game,Video Games
2e17da53-9573-4269-ba7d-6989c6f002a8,Backyard Sports: Rookie Rush,Wii,CIB,742725281257,0.00,4.84,4.99,9.37,1,available,Video Games,game,Video Games
e04cc7d8-7d88-42eb-ae59-24c4cf851025,Batman: Arkham Asylum [Game of the Year Greatest Hits],PlayStation 3,CIB,788687501088,0.00,8.99,8.99,17.40,1,available,Video Games,game,Video Games
d3ae305a-f89c-4b86-a20c-e15b0142ed97,Batman: Arkham City,PlayStation 3,CIB,883929172054,0.00,7.34,6.99,7.72,1,available,Video Games,game,Video Games
7b5e7ea6-ea38-4d9c-bf1e-d80327ef2dc1,Battle Arena Toshinden,PlayStation,CIB,4904880133093,0.00,7.33,6.99,14.43,1,available,Video Games,game,Video Games
ed3a9860-9d4e-4f0c-8793-b7609ef017a3,Battlefield 3,PlayStation 3,CIB,014633197280,0.00,6.76,6.99,13.09,1,available,Video Games,game,Video Games
e04f4fce-3db6-40b6-94ae-b37689c6a7f4,Battlefield 3 [Limited Edition],Xbox 360,CIB,014633195934,0.00,3.99,3.99,7.72,1,available,Video Games,game,Video Games
4ac7f8c1-5a8b-4d48-ac88-ae7c33e4a07f,Battlefield 4,PlayStation 3,CIB,014633732290,0.00,3.64,3.99,7.05,1,available,Video Games,game,Video Games
8e543709-69b1-4547-b7a9-3af256112896,Battlefield: Bad Company 2,PlayStation 3,CIB,014633156720,0.00,6.32,5.99,12.24,1,available,Video Games,game,Video Games
0af6956c-0215-46a1-a1c5-701be089fd58,Beach Vibes,Book,Loose,9781335001245,7.99,7.99,7.99,5.00,1,available,Books & Media,accessory,Books & Media
621c6c9d-a036-43b2-a9ee-4e9ddc482dcd,Beast You Are,Book,Loose,9780063069978,9.99,9.99,9.99,0.00,1,available,Books & Media,accessory,Books & Media
6b931600-dd3d-4b60-a458-82dfa375927a,Big Bumpin,Xbox,CIB,,0.00,3.71,3.99,4.85,1,available,Manual Entry,unknown,Video Games
41b56dc6-14d2-49af-8f80-3ac8219f0ffe,BioShock 2,Xbox 360,CIB,710425395536,0.00,6.49,5.99,12.56,1,available,Video Games,game,Video Games
6998a006-d450-4fb6-9484-295e914fdb7e,Black GameCube Controller,GameCube,CIB,,0.00,52.83,52.99,22.60,1,available,Manual Entry,game,Video Games
362d2274-dc66-4729-8d7e-ce511a6b0fcf,Boku To Sim No Machi,Wii,CIB,4938833007919,0.00,12.99,12.99,25.57,1,available,Video Games,game,Video Games
dd75eb4c-df8c-485e-8311-8684d903156f,Boogie [Bundle],PlayStation 2,CIB,014633158960,0.00,3.39,2.99,6.56,1,available,Video Games,game,Video Games
30791600-2c4b-434a-a1c3-c2f0f37894f3,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Mystery Fiction",accessory,Books & Media
262db426-8a46-4e17-b57b-c07423576ced,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Spicy Romance",accessory,Books & Media
272e0726-f72a-4383-b050-99ed47f45069,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Romance",accessory,Books & Media
360ff765-d5e9-4265-84cf-32ad522a95ad,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Modern Murder Mystery",accessory,Books & Media
54b0a0c6-6754-4def-b498-ad467629a91d,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Fiction",accessory,Books & Media
570bf16a-b65a-4db0-aca6-14e04945d1d7,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Psychological Thriller",accessory,Books & Media
2f5bc6da-df4d-43e9-bb88-e66894ee0694,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Spicy Romance",accessory,Books & Media
e5c32669-8ea1-4c4b-bdd1-f3b1a5a50176,Book Blind Date,Book,Loose,Book Blind Date,10.00,10.00,9.99,6.00,1,available,"Books, Fantasy Fiction",accessory,Books & Media
dcebbc3e-361b-49e3-9c4c-2d6c7c897d12,Borderlands 2 [Game of the Year],PlayStation 3,CIB,710425473333,0.00,13.97,13.99,18.25,1,available,Video Games,game,Video Games
7c599e65-47d1-47b8-b25b-cecdf55c9b70,Burnout Point of Impact 2,GameCube,CIB,,0.00,32.43,31.99,13.87,1,available,Manual Entry,unknown,Video Games
13cb5f3a-b424-4d04-a7a9-da79ca368b80,Cabelas Alaskan Adventures,PlayStation 2,CIB,,0.00,3.76,3.99,4.91,1,available,Manual Entry,unknown,Video Games
1ed34a32-7c5e-4dfb-bfd6-53e5262708ce,Cabelas Big Game Hunter,PlayStation 2,CIB,,0.00,28.75,28.99,37.56,1,available,Manual Entry,game,Video Games
433702da-32b8-4e62-8b55-57624faed510,Cabelas Deer Hunt 2004 Season,PlayStation 2,CIB,,0.00,2.91,2.99,3.80,1,available,Manual Entry,unknown,Video Games
7138de72-8129-4bfc-9d00-6e8ce5b8d0e1,Call of Duty 2 Big Red One,PlayStation 2,CIB,047875810211,0.00,7.84,7.99,15.18,1,available,Video Games,game,Video Games
7085e8bc-6d3d-4de1-8a17-ab263dc8e97c,Call of Duty 4 Modern Warfare,PlayStation 3,CIB,047875830813,0.00,5.99,5.99,11.60,1,available,Video Games,game,Video Games
9553f2a4-64a6-4517-a574-34ba44b19cae,Call of Duty Black Ops II,Xbox 360,CIB,047875843851,0.00,15.87,15.99,20.74,1,available,Video Games,game,Video Games
8002525f-c627-4a0e-ba89-21f3e8ea3d00,Can't Take My Eyes Off Of You,Book,Loose,9781945253300,9.99,9.99,9.99,0.00,1,available,Books & Media,accessory,Books & Media
6f0f404f-bb7e-48d3-ae79-ad87c889b0dc,Cars,GameCube,CIB,,0.00,15.00,14.99,6.42,1,available,Manual Entry,unknown,Video Games
b965ff0d-4a60-4f3d-ae89-2c0f757831ed,Cars,Xbox,CIB,752919520574,0.00,8.63,8.99,16.71,1,available,Video Games,game,Video Games
2a727aa2-38b1-4de4-b233-0785bab70c8a,Chicken Shoot,Wii,CIB,802068101350,0.00,7.98,7.99,15.45,1,available,Video Games,game,Video Games
a172d715-fe7c-4e3a-9257-698505a1f55a,Cold Stone Creamery: Scoop It Up,Wii,CIB,802068102531,0.00,6.99,6.99,13.53,1,available,Video Games,game,Video Games
22f2e9d2-2348-4ed2-ad11-80b6136b8c2c,Dai-2-Ji Super Robot Wars Alpha,,CIB,4983164737776,0.00,9.99,9.99,19.66,1,available,Video Games,game,Video Games
8e198c7b-fa0f-4491-ba53-18f472c34c0d,Dai-2-Ji Super Robot Wars Alpha,PlayStation 2,CIB,4983164737776,0.00,9.99,9.99,19.66,1,available,Video Games,game,Video Games
4edc9eb9-0b18-4b15-bc57-a4a88958d0ae,Dai-2-Ji Super Robot Wars Alpha,PlayStation 2,CIB,4983164737776,0.00,9.99,9.99,4.00,1,available,Video Games,game,Video Games
927b10b2-9202-4c1a-a950-78f1cf221773,Dai-2-Ji Super Robot Wars Alpha,,CIB,4983164737776,0.00,9.99,9.99,19.66,1,available,Video Games,game,Video Games
7878abfd-6266-47b1-80ed-02776ef51122,Dance Central 3,Xbox 360,CIB,885370523522,0.00,9.89,9.99,12.92,1,available,Video Games,game,Video Games
0d4c0d8a-2b09-46e3-a885-df26e160bd32,Dance Dance Revolution Extreme 2,PlayStation 2,CIB,083717201281,0.00,10.43,9.99,20.19,1,available,Video Games,game,Video Games
e0fc336f-1f48-4270-9290-503998e6588a,Dead Space 3 [Limited Edition],Xbox 360,CIB,014633197235,0.00,8.08,7.99,15.64,1,available,Video Games,game,Video Games
50aa371c-a151-4a55-8559-7f7d308d476b,Dishonored [Definitive Edition],Xbox One,CIB,093155170681,0.00,11.24,10.99,21.76,1,available,Video Games,game,Video Games
39752f3d-03f1-4505-9d80-28042013e4e0,Disney Sing It,Xbox 360,CIB,712725005696,0.00,3.36,2.99,6.50,1,available,Video Games,game,Video Games
e372fa25-7ce1-4802-8291-867432ebc76e,Disneyland Adventures,Xbox 360,CIB,,0.00,5.69,5.99,7.43,1,available,Manual Entry,unknown,Video Games
962db774-55c8-4cbd-97ba-7ad28bb03447,DMC: Devil May Cry,Xbox 360,CIB,013388330287,0.00,8.11,7.99,10.60,1,available,Video Games,game,Video Games
22ca4513-c90b-4d1a-97e2-4fbc235e83dc,Does It Hurt?,Book,Loose,9781638932499,15.99,15.99,15.99,8.00,1,available,Books & Media,accessory,Books & Media
7d096884-2499-4810-a136-06d7f5652da6,Dragon Age II,PlayStation 3,CIB,014633195002,0.00,6.53,6.99,12.64,1,available,Video Games,game,Video Games
f1c16774-712e-420e-b252-ff967452cb07,Dragon Ball Z,PlayStation 2,CIB,4543112084514,0.00,25.99,25.99,51.16,1,available,Video Games,game,Video Games
edcba14e-e856-4fb0-bb7f-b1392991c17c,Dragon Ball Z 3,PlayStation 2,CIB,4543112319036,0.00,9.73,9.99,19.15,1,available,Video Games,game,Video Games
47d6029a-4c7f-4ecd-8f05-ca67567dc089,Dragon Ball Z Sparking,PlayStation 2,CIB,4543112378835,0.00,9.49,8.99,18.68,1,available,Video Games,game,Video Games
a4afa4dc-2971-41e3-8a7e-ddab95f14019,Dragon Quest 7,PlayStation,CIB,4988601003292,0.00,7.25,6.99,14.27,1,available,Video Games,game,Video Games
3a49d71f-6c49-43ad-b15d-4f93d8907d0b,Dragon Quest VIII,PlayStation 2,CIB,4988601004107,0.00,8.99,8.99,17.70,1,available,Video Games,game,Video Games
6bb6ab76-91e0-4e75-b043-6e1f7d7c24d3,Dragon Warrior,NES,CIB,,0.00,64.18,63.99,83.86,1,available,Manual Entry,unknown,Video Games
d7f8de56-473a-4a6f-a972-f36c68eb6c0e,Dragon's Dogma,PlayStation 3,CIB,4976219042888,0.00,2.74,2.99,5.39,1,available,Video Games,game,Video Games
45528b06-f792-4539-a3d9-1f8708854104,Dragonball Z Budokai,GameCube,CIB,,0.00,18.51,18.99,7.92,1,available,Manual Entry,unknown,Video Games
faa66409-ee9f-45bb-a48d-842fb0c9dc0c,Dragonball Z Budokai,GameCube,CIB,,0.00,18.51,18.99,7.92,1,available,Manual Entry,unknown,Video Games
5d1f3886-4241-419d-b290-3a563c81ec77,ESPN NFL 2K5,Xbox,CIB,,0.00,8.17,7.99,10.67,1,available,Manual Entry,unknown,Video Games
014ee9da-d856-45b1-83c9-e61094c86369,Evolve,Xbox One,CIB,710425493751,0.00,3.93,3.99,7.61,1,available,Video Games,game,Video Games
1f0bd904-86ac-448c-88f4-a792e45584d8,EX Jinsei Game,PlayStation 2,CIB,4904880138654,0.00,7.71,7.99,15.18,1,available,Video Games,game,Video Games
179060d2-6ea6-4245-90a2-cbc2a8dc6ab1,Extreme Pinball,PlayStation,CIB,,0.00,7.47,6.99,9.76,1,available,Manual Entry,unknown,Video Games
68d9fdc8-e120-4272-90bf-5c237e25fa40,Eyepet & Friends,PlayStation 3,CIB,711719823520,0.00,5.40,4.99,10.45,1,available,Video Games,game,Video Games
65f91768-a569-42f7-b82b-60312031dab3,FIFA 14,PlayStation 3,CIB,014633730401,0.00,7.97,7.99,15.43,1,available,Video Games,game,Video Games
53ce0477-a8cf-40af-9b5e-a388b8c25130,FIFA 16,Xbox One,CIB,014633369281,0.00,4.15,3.99,8.03,1,available,Video Games,game,Video Games
63a11796-04bd-4c00-a8ca-1690ea92eefb,FIFA Soccer 07,GameCube,CIB,,0.00,51.89,51.99,22.19,1,available,Manual Entry,unknown,Video Games
ab21c2c7-58dc-4f66-9915-d8a16a614d56,FIFA Soccer 11,PlayStation 3,CIB,014633193213,0.00,5.18,4.99,10.03,1,available,Video Games,game,Video Games
e279e5b9-162c-48de-a26c-e6bfa297e561,FIFA Street 3,Xbox 360,CIB,014633155617,0.00,12.71,12.99,24.61,1,available,Video Games,game,Video Games
06b16234-62f8-442c-b4d6-67171a29ab2a,Fifty Shades Collection,Book,Loose,Fifty Shades Collection,9.99,9.99,9.99,9.00,1,available,"Books, Adult Romance",accessory,Books & Media
acec17d7-adac-4ad7-9fe6-6004a3ea8f0e,Fifty shades freed,Book,Loose,9780345803504,4.99,4.99,4.99,3.00,1,available,Books & Media,accessory,Books & Media
1b83f202-f1b2-4aa1-b84f-84d9de10c4c2,Fight Night Champion,Xbox 360,CIB,,0.00,13.96,13.99,18.24,1,available,Manual Entry,unknown,Video Games
e59707d2-858e-4246-8d43-3166b9424e21,Final Fantasy X-2,PlayStation 2,CIB,4961012028207,0.00,12.78,12.99,4.00,1,available,Video Games,game,Video Games
c0613aa2-7f0f-4823-afd3-404e3d8da37d,Final Fantasy X-2,PlayStation 2,CIB,4961012028207,0.00,8.50,8.99,0.00,1,available,Video Games,game,Video Games
ec1f0eb8-10b8-4228-928d-857b4bd46e19,Final Fantasy X-2,PlayStation 2,CIB,4961012028207,0.00,8.50,8.99,16.73,1,available,Video Games,game,Video Games
3eb6ba18-bf82-444d-8f8b-d3a665ca55b3,Final Fantasy XII,PlayStation 2,CIB,4988601004459,0.00,10.32,9.99,20.31,1,available,Video Games,game,Video Games
59f90cfe-a5e7-4862-9f34-38a128d06941,Final Fantasy XIII,PlayStation 3,CIB,4988601006187,0.00,11.99,11.99,23.60,1,available,Video Games,game,Video Games
a9a6d5cb-52b8-44f6-a3f8-0bf39192983f,Fisherman’s Bait 2 Big Ol Bass,PlayStation,CIB,,0.00,39.34,38.99,51.40,1,available,Manual Entry,unknown,Video Games
7b53fb7c-1368-4c5a-8d69-f6aabcf3bfb9,Five Days in Paris,Book,Loose,9780345528193,9.99,9.99,9.99,0.00,1,available,Books & Media,accessory,Books & Media
e3693d5b-6e2d-4572-86db-5b066bb92194,Five Feet Apart,Book,Loose,Five Feet Apart,4.99,4.99,4.99,9.50,1,available,Books,accessory,Books & Media
cd754075-0574-49b4-b819-794072461817,Fort Point,Book,Loose,9780997230871,9.99,9.99,9.99,0.00,1,available,Books & Media,accessory,Books & Media
b82af411-ae98-4e4f-82da-f4e9763acba1,Fourth Wing,Book,Loose,9781649374042,15.99,15.99,15.99,12.99,1,available,"Books, Romance Fantasy",accessory,Books & Media
40914eb4-c5cf-45e2-afb9-8dba216fb118,Fourth Wing,Book,Loose,9781649374042,15.99,15.99,15.99,12.00,1,available,Books & Media,accessory,Books & Media
68c3c06e-2b00-4bf6-8aac-13385dc518bc,Full Metal Alchemist Hagane no Renkinjutsushi,PlayStation 2,CIB,4988601003933,0.00,51.04,50.99,100.47,1,available,Video Games,game,Video Games
55e56230-1e74-4aec-b710-8f29e716d42a,Full Spectrum Warrior,Xbox,CIB,752919520239,0.00,7.89,7.99,10.31,1,available,Video Games,game,Video Games
bef3378a-a476-4f5f-b2fa-8d5dceac02bf,Gacharoku,PlayStation 2,CIB,4948872110266,0.00,10.80,10.99,21.26,1,available,Video Games,game,Video Games
5782265c-5972-4061-8f0b-825f97433d58,Galaga / Galaxian,Game Boy,CIB,,0.00,32.42,31.99,42.36,1,available,Manual Entry,unknown,Video Games
50de65cc-150a-46a0-98b4-2e4e452a6d78,Game Party 2,Wii,CIB,031719192045,0.00,8.99,8.99,17.40,1,available,Video Games,game,Video Games
7031800d-9197-42d9-963a-c17542c1bf50,GameCube,GameCube,CIB,,0.00,109.05,108.99,46.64,1,available,Manual Entry,game,Video Games
7308aa57-9fb4-4ea2-a527-6a64292b16de,Gears 5,Xbox One,CIB,889842519099,0.00,14.42,13.99,28.79,1,available,Video Games,game,Video Games
d122845f-ace7-470a-8eee-93065e3e2868,Gears of War 4,Xbox One,CIB,889842118650,0.00,9.93,9.99,19.22,1,available,Video Games,game,Video Games
a1b8a87e-b9c6-44a9-b1cf-210a0eb646a0,Genso Suikoden,PlayStation,CIB,4988602624304,0.00,23.37,22.99,4.00,1,available,Video Games,game,Video Games
d9abd1b7-4244-4bf8-b30e-2116be9feaeb,Genso Suikoden,PlayStation,CIB,4988602624304,0.00,23.37,22.99,46.00,1,available,Video Games,game,Video Games
80cf637d-7443-422f-9d22-958ed7317dfd,Genso Suikoden III [First Print Limited Edition],PlayStation 2,CIB,4542084000560,0.00,0.00,3.99,4.00,1,available,Video Games,game,Video Games
5b655513-6737-4069-8528-8bd9a3ac64c7,Genso Suikoden V,PlayStation 2,CIB,4988602124774,0.00,18.33,17.99,36.08,1,available,Video Games,game,Video Games
